Air.KAO         Kuiper Airborne Observatory 
Air.SOFIA       Stratospheric Observatory For Infrared Astronomy 
ANT.AMANDA      Antarctica/AMANDA, Antarctic Muon and Neutrino Detector Array 
ANT.ASTRO       Antarctica/ASTRO, Antarctic Submillimeter Telescope and Remote Observatory 
ANT.OASI        Antarctica/Submillimetric and Infrared Antarctic Observatory 
AO.CT           Asiago Observatory/Copernico Telescope 
AO.GT           Asiago Observatory/Galilei Telescope 
AO.ST           Asiago Observatory/Schmidt Telescope 
APO.ARC         Apache Point Observatory/ARC, Astrophysical Research Consortium Telescope 
APO.NMSU        Apache Point Observatory/New Mexico State University Telescope 
APO.SLOAN       Apache Point Observatory/Sloan digital Sky Survey Telescope 
ATNF.CA         Australia Telescope National Facility/Compact Array 
ATNF.MRT        Australia Telescope National Facility/Mopra Radio Telescope 
ATNF.PRT        Australia Telescope National Facility/Parkes Radio Telescope 
Ba.ARCHEOPS     Archeops, the High Resolution, Large Sky Coverage Balloon Experiment for Mapping CMB Anisotropies
Ba.GRIP         GRIP, Balloon-borne Gamma Ray Imaging Platform 
Ba.MAXIMA       MAXIMA ballon experiment 
BAO.1.26m       Beijing Astronomical Observatory/1.26 meter Telescope 
BAO.2.16m       Beijing Astronomical Observatory/2.16 meter Telescope 
BAO.7m          Beijing Astronomical Observatory/7 meter Solar Radio Telescope 
BAO.MSRT        Beijing Astronomical Observatory/Meter-wave aperture Sysnthesis Radio Telescope 
BBSO.ST         Big Bear Solar Observatory/Solar Telescopes 
CAO.1.2m        Calar Alto Observatory/1.2 meter Telescope 
CAO.1.5m        Calar Alto Observatory/1.5 meter Telescope 
CAO.2.2m        Calar Alto Observatory/2.2 meter Telescope 
CAO.3.5m        Calar Alto Observatory/3.5 meter Telescope
CAO.ST          Calar Alto Observatory/Schmidt Telescope 
CP.GEMINIS      Cerro Pachon/Gemini South Telescope 
CrAO.1.25m      Crimean Astrophysical Observatory/1.25 meter Telescope
CrAO.22m        Crimean Astrophysical Observatory/22 meter Radio Telescope 
CrAO.GT48       Crimean Astrophysical Observatory/Gamma Telescope 
CrAO.SHAJN      Crimean Astrophysical Observatory/Shajn Telescope
