Status,OID,Name,Agency Representative,Abbreviation,Aliases,Operating Location,Expected Launch Date,Expected Mission End Date,Transmitting Frequency Bands,Special Request,Simulator,Family,Protocols,Other Protocols,Description,More Info,Requestor Contact,Requestor Organization,Notes,References,Created By,Creation date,Updated By,Update date
Assigned,1.3.112.4.7.1495,PVSAT,Dr. Sangil Ahn  [Korea Aerospace Research Institute],PVSAT,[],Near Earth,2022-05-30,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-05-21 05:15:36.814225+00:00,,2021-05-21 13:01:00.905188+00:00
Assigned,1.3.112.4.7.1524,SES-23,Dr Harald Ernst  [European Space Agency],SES-23,[],Near Earth,2023-07-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.374,1.3.112.4.1.98,,[],1.3.112.4.2.374,2021-07-30 07:44:13.570197+00:00,1.3.112.4.2.39,2021-08-07 18:25:45.666104+00:00
Assigned,1.3.112.4.7.1536,SARNext-C,Dr. Siamak Tafazoli  [Canadian Space Agency],SNC,[],Near Earth,2024-12-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.411,1.3.112.4.1.302,,[],1.3.112.4.2.411,2021-10-29 20:04:00.276583+00:00,1.3.112.4.2.29,2021-11-02 15:33:07.126808+00:00
Assigned,1.3.112.4.7.1528,KSF2-a,Dr Harald Ernst  [European Space Agency],KSF2-a,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:10:29.293589+00:00,1.3.112.4.2.39,2021-11-02 18:04:34.014991+00:00
Assigned,1.3.112.4.7.1496,CAS500-4,Dr. Sangil Ahn  [Korea Aerospace Research Institute],CAS500-4,[],Near Earth,2025-02-28,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.390,1.3.112.4.1.43,,[],1.3.112.4.2.390,2021-05-21 07:27:19.593197+00:00,,2021-05-21 13:00:43.677176+00:00
Assigned,1.3.112.4.7.1537,QUBIK-3,Dr Harald Ernst  [European Space Agency],QUBIK-3,[],Near Earth,2022-01-22,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.405,1.3.112.4.1.301,,[],1.3.112.4.2.405,2021-11-02 15:18:34.121531+00:00,1.3.112.4.2.39,2021-11-02 18:03:26.828697+00:00
Assigned,1.3.112.4.7.1529,KSF2-b,Dr Harald Ernst  [European Space Agency],KSF2-b,[],Near Earth,2022-01-01,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.172,1.3.112.4.1.146,,[],1.3.112.4.2.172,2021-10-27 07:11:11.165464+00:00,1.3.112.4.2.39,2021-11-02 18:04:55.067759+00:00
Assigned,1.3.112.4.7.1525,UMBRA-02,Mrs. Lisa Cacciatore  [National Aeronautics and Space Administration],UMBRA-02,[],Near Earth,2021-12-31,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.404,1.3.112.4.1.293,,[],1.3.112.4.2.404,2021-07-30 21:30:53.721379+00:00,1.3.112.4.2.3,2021-12-09 21:47:59.776406+00:00
Assigned,1.3.112.4.7.1497,Sentinel-CO2M-A,Dr Harald Ernst  [European Space Agency],CO2A,[],Near Earth,2024-11-15,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.39,1.3.112.4.1.12,,[],1.3.112.4.2.39,2021-05-21 19:47:00.414649+00:00,,2021-05-25 14:53:35.552909+00:00
Assigned,1.3.112.4.7.1526,RApid Innovative payload demonstration SatellitE-3,Mr. Tsutomu Shigeta  [Japan Aerospace Exploration Agency],RAISE-3,[],Near Earth,2022-06,,,,False,CCSDS Standard,[],[],,,1.3.112.4.2.16,1.3.112.4.1.14,,[],1.3.112.4.2.16,2021-08-02 08:33:43.248508+00:00,,2021-08-02 12:50:26.981363+00:00
