o: ok	x: distinct	?: unsure																								
Total: 30 pairs																										
Annotator1	Annotator2	Annotator3	Annotator4	Annotator5	Annotator6	Comments	Entity1	Entity2	Entity1 more information	Entity2 more information																
	o		o		o		Centre National de la Recherche Scientifique 2m Bernard Lyot Telescope at Observatoire Midi-Pyrenees	Bernard Lyot 2.0m https://pds.nasa.gov/data/pds4/context-pds4/telescope/pic_du_midi.bernardlyot_2m0_1.0.xml	Centre National de la Recherche Scientifique 2m Bernard Lyot Telescope at Observatoire Midi-Pyrenees. Is part of: observatoire-midi-pyrenees. Location: Europe. Also known as: Centre National de la Recherche Scientifique (CNRS) 2m Bernard Lyot Telescope (TBL) at Observatoire Midi-Pyrenees, Centre National de la Recherche Scientifique (CNRS) 2m Bernard Lyot Telescope (TBL). Code: TBL. Continent: Europe. Continent code: EU. Size: 2m. Waveband: optical.	Bernard Lyot 2.0m. Is part of: pic-du-midi-de-bigorre. Latitude: 42.93737. Location: Earth. Longitude: 0.14049. Code: urn:nasa:pds:context:telescope:pic_du_midi.bernardlyot_2m0. Continent: Europe. Address: Pic du Midi 2, Ponton dans le Ciel, Bagnères-de-Bigorre, Hautes Pyrenees, Occitania, Metropolitan France, 65200, France. Country: France. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/pic_du_midi.bernardlyot_2m0_1.0.xml. Altitude: 2850. Aperture: 2.																
	x		x		x	class mismatch	El Observatorio Astronomico Nacional/Sierra San Pedro Martir	1.5 m https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.1m5_1.0.xml	El Observatorio Astronomico Nacional/Sierra San Pedro Martir. Has part: national-autonomous-university-of-mexico-2.12m-telescope-at-el-observatorio-astronomico-nacional-sierra-san-pedro-martir, national-autonomous-university-of-mexico-0.84m-telescope-at-el-observatorio-astronomico-nacional-sierra-san-pedro-martir, national-autonomous-university-of-mexico-1.52m-harold-johnson-telescope-at-el-observatorio-astronomico-nacional-sierra-san-pedro-martir. Also known as: El Observatorio Astronomico Nacional/Sierra San Pedro Martir (OAN/SPM).	1.5 m. Description: The 1.5 m is a 1.5 m telescope located at 31.577700, 115.466600 at the National Astronomical Observatory-Ensenada. The Instituto de Astronomia at Ensenada, Mexico, operates the 1.5m, f/13.5 Ritchey-Chretien reflector telescope at the Observatorio Astronomico Nacional/San Pedro Martir facility located on the summit of the San Pedro Martir Sierra on the Baja California peninsula of Mexico. The telescope was installed in 1970. The 1.5m telescope is located at: Longitude : 115.466667 degrees West (-115deg 28' 0. Is part of: national-astronomical-observatory-ensenada. Latitude: 31.5777. Location: Earth. Longitude: 115.4666. Code: urn:nasa:pds:context:telescope:ensenada.1m5. Continent: Asia. Address: Dingjiawan, Jinzhai County, Lu'an, Shangcheng County, Xinyang, Anhui, China. Country: China. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/ensenada.1m5_1.0.xml. Altitude: 2800. Aperture: 1.5. Coordinate source: Astronomical.																
	o		o		o		University of California 3m C. Donald Shane Telescope at Lick Observatory	3.05-m Shane reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/lick.shane3m05_1.0.xml	University of California 3m C. Donald Shane Telescope at Lick Observatory. Is part of: lick-observatory. Latitude: 37.3415325. Location: North America, Hawaii. Longitude: -121.6429004. Also known as: University of California 3m (120inch) C. Donald Shane Telescope, University of California 3m (120inch) C. Donald Shane Telescope at Lick Observatory. Code: Shane. Continent: North America. Address: Lick Observatory Visitor Center, Observatory Peak Road, Santa Clara County, California, United States. Country: United States. Size: 3m. Waveband: infrared, optical.	3.05-m Shane reflector. Description: The 3.05-m Shane reflector is a 3.05 m telescope located at 37.343109, 238.363922 at the Lick Observatory. Operational 1959+. Is part of: lick-observatory. Latitude: 37.343109. Location: Earth. Longitude: 238.363922. Code: urn:nasa:pds:context:telescope:lick.shane3m05. Continent: North America. Address: Mount Hamilton Residence 7226, 30325, Mount Hamilton Road, San Jose, Santa Clara County, California, 95140, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/lick.shane3m05_1.0.xml. Altitude: 1290. Aperture: 3.05. Coordinate source: Geodetic - North American (1927) Datum.																
	o		o		o		National Research Foundation of South Africa 1.9m Radcliffe Telescope at South African Astronomical Observatory	Radcliffe 1.88m telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/saao.radcliffe_1m88_1.0.xml	National Research Foundation of South Africa 1.9m Radcliffe Telescope at South African Astronomical Observatory. Is part of: south-african-astronomical-observatory. Location: Africa, Canary Islands. Also known as: National Research Foundation of South Africa 1.9m Radcliffe Telescope at South African Astronomical Observatory (SAAO), National Research Foundation of South Africa 1.9m Radcliffe Telescope. Code: Radcliffe. Continent: Africa. Continent code: AF. Size: 1.9m. Waveband: infrared, optical.	Radcliffe 1.88m telescope. Is part of: south-african-astronomical-observatory. Latitude: -32.37895. Location: Earth. Longitude: 20.81163. Code: urn:nasa:pds:context:telescope:saao.radcliffe_1m88. Continent: Africa. Address: Karoo Hoogland Ward 3, Karoo Hoogland Local Municipality, Namakwa District Municipality, Northern Cape, South Africa. Country: South Africa. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/saao.radcliffe_1m88_1.0.xml. Altitude: 1800. Aperture: 1.88.																
	x		?		x	class mismatch	Warner and Swasey Observatory	1.83-m Perkins Warner &amp; Swasey reflector https://pds.nasa.gov/data/pds4/context-pds4/telescope/lowell.perkins_warner1m83_1.1.xml	Warner and Swasey Observatory. Has part: case-western-reserve-university-burrell-schmidt-at-warner-and-swasey-observatory.	1.83-m Perkins Warner &amp; Swasey reflector. Description: The 1.83-m Perkins Warner &amp; Swasey reflector is a 1.83 m telescope located at 35.096832, 248.464081 at the Anderson Mesa Station. Operational 1961+; from Perkins Obs.. Is part of: lowell-observatory. Latitude: 35.096832. Location: Earth. Longitude: 248.464081. Code: urn:nasa:pds:context:telescope:lowell.perkins_warner1m83. Continent: North America. Address: Coconino County, Arizona, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/lowell.perkins_warner1m83_1.1.xml. Altitude: 2200. Aperture: 1.83. Coordinate source: Geodetic - North American (1927) Datum.																
	o		o		o		Astronomical Institute of Academy of Sciences of Czech Republic 0.65m Telescope at Ondrejov Observatory	0.65 m https://pds.nasa.gov/data/pds4/context-pds4/telescope/ondrejov.0m65_1.0.xml	Astronomical Institute of Academy of Sciences of Czech Republic 0.65m Telescope at Ondrejov Observatory. Is part of: ondrejov-observatory. Location: Europe. Also known as: Astronomical Institute of Academy of Sciences of Czech Republic 0.65m Telescope. Code: OO:0.65. Continent: Europe. Continent code: EU. Size: 0.65m. Waveband: infrared, optical.	0.65 m. Description: The 0.65 m is a 65 cm telescope located at 49.910806, 14.783694 at the Ondr?ejov Observatory. 0.65m f3.6. Coordinates from Horizons. Is part of: ondr-ejov-observatory. Latitude: 49.910806. Location: Earth. Longitude: 14.783694. Code: urn:nasa:pds:context:telescope:ondrejov.0m65. Continent: Europe. Address: 293, Fričova, Ondřejov u Prahy, Ondřejov, okres Praha-východ, Central Bohemia, 251 65, Czechia. Country: Czechia. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/ondrejov.0m65_1.0.xml. Altitude: 547. Aperture: 65. Coordinate source: Geodetic - WGS 84 Datum.																
	o		o		o		Carnegie Institution for Science 2.5m Irenee du Pont Telescope at Las Campanas Observatory	Irenee du Pont 2.5m Telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.ireneedupont_2m5_1.0.xml	Carnegie Institution for Science 2.5m Irenee du Pont Telescope at Las Campanas Observatory. Is part of: las-campanas-observatory. Location: South America. Also known as: Carnegie Institution for Science (CIS) 2.5m (100 inch) Irenee du Pont Telescope at Las Campanas Observatory (LCO), Carnegie Institution for Science (CIS) 2.5m (100 inch) Irenee du Pont Telescope. Code: Du Pont. Continent: South America. Continent code: SA. Size: 2.5m. Waveband: infrared, optical.	Irenee du Pont 2.5m Telescope. Is part of: las-campanas-observatory. Latitude: -29.00739. Location: Earth. Longitude: 289.29605. Code: urn:nasa:pds:context:telescope:las_campanas.ireneedupont_2m5. Continent: South America. Address: Las Campanas, Vallenar, Provincia de Huasco, Atacama Region, Chile. Country: Chile. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/las_campanas.ireneedupont_2m5_1.0.xml. Altitude: 2300. Aperture: 2.5.																
	o		o		o	The MMT Observatory (MMTO) is an astronomical observatory on the site of Fred Lawrence Whipple Observatory	University of Arizona/Smithsonian Institution 6.5m MMT Telescope at Fred Lawrence Whipple Observatory	6.5-m Single Mirror https://pds.nasa.gov/data/pds4/context-pds4/telescope/mmt.single_mirror6m5_1.1.xml	University of Arizona/Smithsonian Institution 6.5m MMT Telescope at Fred Lawrence Whipple Observatory. Is part of: fred-lawrence-whipple-observatory. Location: North America, Hawaii. Also known as: University of Arizona/Smithsonian Institution 6.5m MMT Telescope at Fred Lawrence Whipple Observatory (FLWO), University of Arizona/Smithsonian Institution 6.5m MMT Telescope. Code: MMT. Continent: North America. Continent code: NA. Size: 6.5m. Waveband: infrared, optical.	6.5-m Single Mirror. Description: The 6.5-m Single Mirror (MMT) is a 650 cm telescope located at 31.688611, 249.115470 at the MMT Observatory. The refurbished MMT 6.5m facility, replacement of the original six 1.83-m reflectors of reference OBS326T1 with a single 6.5m mirror. The new MMT was rededicated on 20 May 2000.. Is part of: mmt-observatory. Latitude: 31.688611. Location: Earth. Longitude: 249.11547. Also known as: 6.5-m Single Mirror (MMT). Code: urn:nasa:pds:context:telescope:mmt.single_mirror6m5. Continent: North America. Address: Santa Cruz County, Arizona, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/mmt.single_mirror6m5_1.1.xml. Altitude: 2610. Aperture: 650. Coordinate source: Astronomical.																
	x		?		x	ATLAS vs DART	Asteroid Terrestrial-impact Last Alert System	Double Asteroid Redirection Test Spacecraft https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.dart_1.1.xml	Asteroid Terrestrial-impact Last Alert System. Location: Earth. Code: ATLAS. Waveband: optical.	Double Asteroid Redirection Test Spacecraft. Description: The DART spacecraft is a low-cost spacecraft designed to navigate autonomously into an impact with Dimorphos, the secondary of the (65803) Didymos system. It carries a single instrument, the Didymos Reconnaissance and Asteroid Camera (DRACO), and will also carry the Light Italian CubeSat for Imaging Asteroids (LICIACube) independent spacecraft, which will be released 10 days prior to launch to observe the impact.. Also known as: Double Asteroid Redirection Test (DART) Spacecraft. Code: urn:nasa:pds:context:instrument_host:spacecraft.dart. Url: https://pds.nasa.gov/data/pds4/context-pds4/instrument_host/spacecraft.dart_1.1.xml. Naif id: DART.																
	o		o		o		California Institute of Technology 1.2m Samuel Oschin Telescope at Palomar Observatory	1.24/1.83-m Oschin Schmidt photographic equat. telescope https://pds.nasa.gov/data/pds4/context-pds4/telescope/palomar.oschin_schmidt_1m2_1.0.xml	California Institute of Technology 1.2m Samuel Oschin Telescope at Palomar Observatory. Is part of: palomar-observatory. Latitude: 33.3539758. Location: North America, Hawaii. Longitude: -116.8613743. Also known as: California Institute of Technology 1.2m Samuel Oschin Telescope (48inch Schmidt) at Palomar Observatory, California Institute of Technology 1.2m Samuel Oschin Telescope (48inch Schmidt). Code: PO:1.2m. Continent: North America. Address: 18-inch Schmidt Telescope, 200-inch Catwalk, San Diego County, California, 92060, United States. Country: United States. Size: 1.2m. Waveband: optical.	1.24/1.83-m Oschin Schmidt photographic equat. telescope. Description: Operational 1948+. Is part of: palomar-observatory. Latitude: 33.35722. Location: Earth. Longitude: 243.141113. Code: urn:nasa:pds:context:telescope:palomar.oschin_schmidt_1m2. Continent: North America. Address: Samuel Oschin Telescope, Palomar Divide Road, San Diego County, California, 92060, United States. Country: United States. Url: https://pds.nasa.gov/data/pds4/context-pds4/telescope/palomar.oschin_schmidt_1m2_1.0.xml. Altitude: 1696. Aperture: 1.24. Coordinate source: Geodetic - North American (1927) datum.																
